scene,kind,index,file,width,height,ratio,fill_ratio,edge_touch_ratio,edge_touch_pixels,bbox_ratio,bbox_fill_ratio,bbox_x0,bbox_y0,bbox_x1,bbox_y1,anchor_x,anchor_y,seam_lr,seam_tb,seam_alpha,status
snow_house,prop,3,godot\assets\fairytales\snow_house\prop-3.png,490,533,0.919325,0.568166,0.000000,0,0.916828,0.605522,8,8,482,525,0.500000,0.984991,,,,need_attention
snow_house,enemy,0,godot\assets\fairytales\snow_house\enemy-0.png,426,550,0.774545,0.613295,0.000000,0,0.767790,0.656321,8,8,418,542,0.500000,0.985455,,,,need_attention
snow_house,enemy,1,godot\assets\fairytales\snow_house\enemy-1.png,328,540,0.607407,0.523792,0.000000,0,0.595420,0.567467,8,8,320,532,0.500000,0.985185,,,,need_attention
snow_house,enemy,2,godot\assets\fairytales\snow_house\enemy-2.png,517,373,1.386059,0.442027,0.000000,0,1.403361,0.476587,8,8,509,365,0.500000,0.978552,,,,need_attention
alice_tea,ground,,godot\assets\fairytales\alice_tea\ground.png,512,512,1.000000,1.000000,0.007797,2044,1.000000,1.000000,0,0,512,512,,,45.934246,44.197266,0.000000,need_attention
alice_tea,cliff,,godot\assets\fairytales\alice_tea\cliff.png,512,512,1.000000,1.000000,0.007797,2044,1.000000,1.000000,0,0,512,512,,,96.711586,132.063156,0.000000,need_attention
alice_tea,structure,,godot\assets\fairytales\alice_tea\structure.png,916,516,1.775194,0.535326,0.000000,0,1.800000,0.562278,8,8,908,508,0.500000,0.984496,,,,need_attention
alice_tea,prop,0,godot\assets\fairytales\alice_tea\prop-0.png,397,574,0.691638,0.502111,0.000000,0,0.682796,0.538199,8,8,389,566,0.500000,0.986063,,,,need_attention
alice_tea,prop,1,godot\assets\fairytales\alice_tea\prop-1.png,581,492,1.180894,0.520101,0.000000,0,1.186975,0.552807,8,8,573,484,0.500000,0.983740,,,,need_attention
alice_tea,prop,2,godot\assets\fairytales\alice_tea\prop-2.png,596,394,1.512690,0.620120,0.000000,0,1.534392,0.664199,8,8,588,386,0.500000,0.979695,,,,need_attention
alice_tea,prop,3,godot\assets\fairytales\alice_tea\prop-3.png,394,565,0.697345,0.607960,0.000000,0,0.688525,0.652162,8,8,386,557,0.500000,0.985841,,,,need_attention
alice_tea,enemy,0,godot\assets\fairytales\alice_tea\enemy-0.png,271,602,0.450166,0.519449,0.000000,0,0.435154,0.567115,8,8,263,594,0.500000,0.986711,,,,need_attention
alice_tea,enemy,1,godot\assets\fairytales\alice_tea\enemy-1.png,417,546,0.763736,0.417666,0.000000,0,0.756604,0.447443,8,8,409,538,0.500000,0.985348,,,,need_attention
alice_tea,enemy,2,godot\assets\fairytales\alice_tea\enemy-2.png,392,508,0.771654,0.668292,0.000000,0,0.764228,0.719388,8,8,384,500,0.500000,0.984252,,,,need_attention
alice_roses,ground,,godot\assets\fairytales\alice_roses\ground.png,512,512,1.000000,1.000000,0.007797,2044,1.000000,1.000000,0,0,512,512,,,4.185547,45.065105,0.000000,need_attention
alice_roses,cliff,,godot\assets\fairytales\alice_roses\cliff.png,512,512,1.000000,1.000000,0.007797,2044,1.000000,1.000000,0,0,512,512,,,8.122396,24.625000,0.000000,need_attention
alice_roses,structure,,godot\assets\fairytales\alice_roses\structure.png,916,668,1.371257,0.763743,0.000000,0,1.380368,0.796396,8,8,908,660,0.500000,0.988024,,,,need_attention
alice_roses,prop,0,godot\assets\fairytales\alice_roses\prop-0.png,534,531,1.005650,0.585084,0.000000,0,1.005825,0.621895,8,8,526,523,0.500000,0.984934,,,,need_attention
alice_roses,prop,1,godot\assets\fairytales\alice_roses\prop-1.png,425,480,0.885417,0.643078,0.000000,0,0.881466,0.691278,8,8,417,472,0.500000,0.983333,,,,need_attention
alice_roses,prop,2,godot\assets\fairytales\alice_roses\prop-2.png,552,529,1.043478,0.606446,0.000000,0,1.044834,0.644028,8,8,544,521,0.500000,0.984877,,,,need_attention
alice_roses,prop,3,godot\assets\fairytales\alice_roses\prop-3.png,497,523,0.950287,0.663919,0.000000,0,0.948718,0.707652,8,8,489,515,0.500000,0.984704,,,,need_attention
alice_roses,enemy,0,godot\assets\fairytales\alice_roses\enemy-0.png,331,587,0.563884,0.390130,0.000000,0,0.551664,0.421433,8,8,323,579,0.500000,0.986371,,,,need_attention
alice_roses,enemy,1,godot\assets\fairytales\alice_roses\enemy-1.png,371,596,0.622483,0.408071,0.000000,0,0.612069,0.438227,8,8,363,588,0.500000,0.986577,,,,need_attention
alice_roses,enemy,2,godot\assets\fairytales\alice_roses\enemy-2.png,366,595,0.615126,0.282702,0.000000,0,0.604491,0.303795,8,8,358,587,0.500000,0.986555,,,,need_attention
alice_hall,ground,,godot\assets\fairytales\alice_hall\ground.png,512,512,1.000000,1.000000,0.007797,2044,1.000000,1.000000,0,0,512,512,,,48.724609,38.039715,0.000000,need_attention
alice_hall,cliff,,godot\assets\fairytales\alice_hall\cliff.png,512,512,1.000000,1.000000,0.007797,2044,1.000000,1.000000,0,0,512,512,,,37.923828,45.578125,0.000000,need_attention
alice_hall,structure,,godot\assets\fairytales\alice_hall\structure.png,916,579,1.582038,0.772505,0.000000,0,1.598579,0.808583,8,8,908,571,0.500000,0.986183,,,,need_attention
alice_hall,prop,0,godot\assets\fairytales\alice_hall\prop-0.png,438,500,0.876000,0.569699,0.000000,0,0.871901,0.610846,8,8,430,492,0.500000,0.984000,,,,need_attention
alice_hall,prop,1,godot\assets\fairytales\alice_hall\prop-1.png,422,530,0.796226,0.611598,0.000000,0,0.789883,0.655489,8,8,414,522,0.500000,0.984906,,,,need_attention
alice_hall,prop,2,godot\assets\fairytales\alice_hall\prop-2.png,549,557,0.985637,0.722351,0.000000,0,0.985213,0.766040,8,8,541,549,0.500000,0.985637,,,,need_attention
alice_hall,prop,3,godot\assets\fairytales\alice_hall\prop-3.png,545,573,0.951134,0.558160,0.000000,0,0.949731,0.591560,8,8,537,565,0.500000,0.986038,,,,need_attention
alice_hall,enemy,0,godot\assets\fairytales\alice_hall\enemy-0.png,377,617,0.611021,0.408346,0.000000,0,0.600666,0.437798,8,8,369,609,0.500000,0.987034,,,,need_attention
alice_hall,enemy,1,godot\assets\fairytales\alice_hall\enemy-1.png,343,626,0.547923,0.308842,0.000000,0,0.536066,0.332451,8,8,335,618,0.500000,0.987220,,,,need_attention
alice_hall,enemy,2,godot\assets\fairytales\alice_hall\enemy-2.png,551,515,1.069903,0.421060,0.000000,0,1.072144,0.447557,8,8,543,507,0.500000,0.984466,,,,need_attention
piper_market,ground,,godot\assets\fairytales\piper_market\ground.png,512,512,1.000000,1.000000,0.007797,2044,1.000000,1.000000,0,0,512,512,,,71.790367,52.743488,0.000000,need_attention
piper_market,cliff,,godot\assets\fairytales\piper_market\cliff.png,512,512,1.000000,1.000000,0.007797,2044,1.000000,1.000000,0,0,512,512,,,62.565105,55.634766,0.000000,need_attention
piper_market,structure,,godot\assets\fairytales\piper_market\structure.png,837,1016,0.823819,0.676129,0.000000,0,0.821000,0.700335,8,8,829,1008,0.500000,0.992126,,,,need_attention
piper_market,prop,0,godot\assets\fairytales\piper_market\prop-0.png,547,467,1.171306,0.469526,0.000000,0,1.177384,0.500833,8,8,539,459,0.500000,0.982869,,,,need_attention
piper_market,prop,1,godot\assets\fairytales\piper_market\prop-1.png,490,463,1.058315,0.568921,0.000000,0,1.060403,0.609176,8,8,482,455,0.500000,0.982721,,,,need_attention
piper_market,prop,2,godot\assets\fairytales\piper_market\prop-2.png,557,554,1.005415,0.314164,0.000000,0,1.005576,0.333075,8,8,549,546,0.500000,0.985560,,,,need_attention
piper_market,prop,3,godot\assets\fairytales\piper_market\prop-3.png,448,524,0.854962,0.628974,0.000000,0,0.850394,0.672814,8,8,440,516,0.500000,0.984733,,,,need_attention
piper_market,enemy,0,godot\assets\fairytales\piper_market\enemy-0.png,356,613,0.580750,0.551226,0.000000,0,0.569514,0.592635,8,8,348,605,0.500000,0.986949,,,,need_attention
piper_market,enemy,1,godot\assets\fairytales\piper_market\enemy-1.png,322,620,0.519355,0.529513,0.000000,0,0.506623,0.571960,8,8,314,612,0.500000,0.987097,,,,need_attention
piper_market,enemy,2,godot\assets\fairytales\piper_market\enemy-2.png,468,509,0.919450,0.413657,0.000000,0,0.916836,0.442200,8,8,460,501,0.500000,0.984283,,,,need_attention
piper_bridge,ground,,godot\assets\fairytales\piper_bridge\ground.png,512,512,1.000000,1.000000,0.007797,2044,1.000000,1.000000,0,0,512,512,,,6.330729,95.121094,0.000000,need_attention
piper_bridge,cliff,,godot\assets\fairytales\piper_bridge\cliff.png,512,512,1.000000,1.000000,0.007797,2044,1.000000,1.000000,0,0,512,512,,,12.064453,27.869791,0.000000,need_attention
piper_bridge,structure,,godot\assets\fairytales\piper_bridge\structure.png,916,407,2.250614,0.522548,0.000000,0,2.301790,0.553600,8,8,908,399,0.500000,0.980344,,,,need_attention
piper_bridge,prop,0,godot\assets\fairytales\piper_bridge\prop-0.png,575,558,1.030466,0.572557,0.000000,0,1.031365,0.606331,8,8,567,550,0.500000,0.985663,,,,need_attention
piper_bridge,prop,1,godot\assets\fairytales\piper_bridge\prop-1.png,523,567,0.922399,0.634216,0.000000,0,0.920145,0.673228,8,8,515,559,0.500000,0.985891,,,,need_attention
piper_bridge,prop,2,godot\assets\fairytales\piper_bridge\prop-2.png,487,668,0.729042,0.445807,0.000000,0,0.722393,0.472262,8,8,479,660,0.500000,0.988024,,,,need_attention
piper_bridge,prop,3,godot\assets\fairytales\piper_bridge\prop-3.png,554,617,0.897893,0.654863,0.000000,0,0.895175,0.692291,8,8,546,609,0.500000,0.987034,,,,need_attention
piper_bridge,enemy,0,godot\assets\fairytales\piper_bridge\enemy-0.png,429,626,0.685304,0.483244,0.000000,0,0.677049,0.515131,8,8,421,618,0.500000,0.987220,,,,need_attention
piper_bridge,enemy,1,godot\assets\fairytales\piper_bridge\enemy-1.png,596,631,0.944532,0.533650,0.000000,0,0.943089,0.562638,8,8,588,623,0.500000,0.987322,,,,need_attention
piper_bridge,enemy,2,godot\assets\fairytales\piper_bridge\enemy-2.png,514,628,0.818471,0.445615,0.000000,0,0.813725,0.471956,8,8,506,620,0.500000,0.987261,,,,need_attention
piper_mountain,ground,,godot\assets\fairytales\piper_mountain\ground.png,512,512,1.000000,1.000000,0.007797,2044,1.000000,1.000000,0,0,512,512,,,49.278645,73.901695,0.000000,need_attention
piper_mountain,cliff,,godot\assets\fairytales\piper_mountain\cliff.png,512,512,1.000000,1.000000,0.007797,2044,1.000000,1.000000,0,0,512,512,,,69.591148,34.091145,0.000000,need_attention
piper_mountain,structure,,godot\assets\fairytales\piper_mountain\structure.png,916,779,1.175866,0.610025,0.000000,0,1.179554,0.633890,8,8,908,771,0.500000,0.989730,,,,need_attention
piper_mountain,prop,0,godot\assets\fairytales\piper_mountain\prop-0.png,484,618,0.783172,0.538812,0.000000,0,0.777409,0.572043,8,8,476,610,0.500000,0.987055,,,,need_attention
piper_mountain,prop,1,godot\assets\fairytales\piper_mountain\prop-1.png,485,470,1.031915,0.665668,0.000000,0,1.033040,0.712637,8,8,477,462,0.500000,0.982979,,,,need_attention
piper_mountain,prop,2,godot\assets\fairytales\piper_mountain\prop-2.png,533,473,1.126850,0.606864,0.000000,0,1.131291,0.647550,8,8,525,465,0.500000,0.983087,,,,need_attention
piper_mountain,prop,3,godot\assets\fairytales\piper_mountain\prop-3.png,355,585,0.606838,0.636167,0.000000,0,0.595782,0.684926,8,8,347,577,0.500000,0.986325,,,,need_attention
piper_mountain,enemy,0,godot\assets\fairytales\piper_mountain\enemy-0.png,570,590,0.966102,0.600089,0.000000,0,0.965157,0.634631,8,8,562,582,0.500000,0.986441,,,,need_attention
piper_mountain,enemy,1,godot\assets\fairytales\piper_mountain\enemy-1.png,614,599,1.025042,0.503111,0.000000,0,1.025729,0.530749,8,8,606,591,0.500000,0.986644,,,,need_attention
piper_mountain,enemy,2,godot\assets\fairytales\piper_mountain\enemy-2.png,517,652,0.792945,0.411835,0.000000,0,0.787736,0.435679,8,8,509,644,0.500000,0.987730,,,,need_attention
puppet_workshop,ground,,godot\assets\fairytales\puppet_workshop\ground.png,512,512,1.000000,1.000000,0.007797,2044,1.000000,1.000000,0,0,512,512,,,53.562500,55.610027,0.000000,need_attention
puppet_workshop,cliff,,godot\assets\fairytales\puppet_workshop\cliff.png,512,512,1.000000,1.000000,0.007797,2044,1.000000,1.000000,0,0,512,512,,,57.025391,24.335287,0.000000,need_attention
puppet_workshop,structure,,godot\assets\fairytales\puppet_workshop\structure.png,916,946,0.968288,0.794073,0.000000,0,0.967742,0.822094,8,8,908,938,0.500000,0.991543,,,,need_attention
puppet_workshop,prop,0,godot\assets\fairytales\puppet_workshop\prop-0.png,487,567,0.858907,0.509345,0.000000,0,0.854809,0.541941,8,8,479,559,0.500000,0.985891,,,,need_attention
puppet_workshop,prop,1,godot\assets\fairytales\puppet_workshop\prop-1.png,541,568,0.952465,0.621892,0.000000,0,0.951087,0.659420,8,8,533,560,0.500000,0.985915,,,,need_attention
puppet_workshop,prop,2,godot\assets\fairytales\puppet_workshop\prop-2.png,590,594,0.993266,0.617240,0.000000,0,0.993080,0.652008,8,8,582,586,0.500000,0.986532,,,,need_attention
puppet_workshop,prop,3,godot\assets\fairytales\puppet_workshop\prop-3.png,503,534,0.941948,0.525316,0.000000,0,0.940154,0.559334,8,8,495,526,0.500000,0.985019,,,,need_attention
puppet_workshop,enemy,0,godot\assets\fairytales\puppet_workshop\enemy-0.png,428,622,0.688103,0.480929,0.000000,0,0.679868,0.512797,8,8,420,614,0.500000,0.987138,,,,need_attention
puppet_workshop,enemy,1,godot\assets\fairytales\puppet_workshop\enemy-1.png,465,634,0.733438,0.268966,0.000000,0,0.726537,0.285763,8,8,457,626,0.500000,0.987382,,,,need_attention
puppet_workshop,enemy,2,godot\assets\fairytales\puppet_workshop\enemy-2.png,605,553,1.094033,0.431704,0.000000,0,1.096834,0.456643,8,8,597,545,0.500000,0.985533,,,,need_attention
puppet_theatre,ground,,godot\assets\fairytales\puppet_theatre\ground.png,512,512,1.000000,1.000000,0.007797,2044,1.000000,1.000000,0,0,512,512,,,5.239583,41.694660,0.000000,need_attention
puppet_theatre,cliff,,godot\assets\fairytales\puppet_theatre\cliff.png,512,512,1.000000,1.000000,0.007797,2044,1.000000,1.000000,0,0,512,512,,,2.170573,16.470703,0.000000,need_attention
puppet_theatre,structure,,godot\assets\fairytales\puppet_theatre\structure.png,916,925,0.990270,0.574423,0.000000,0,0.990099,0.594926,8,8,908,917,0.500000,0.991351,,,,need_attention
puppet_theatre,prop,0,godot\assets\fairytales\puppet_theatre\prop-0.png,566,574,0.986063,0.664339,0.000000,0,0.985663,0.703268,8,8,558,566,0.500000,0.986063,,,,need_attention
puppet_theatre,prop,1,godot\assets\fairytales\puppet_theatre\prop-1.png,586,428,1.369159,0.607110,0.000000,0,1.383495,0.648390,8,8,578,420,0.500000,0.981308,,,,need_attention
puppet_theatre,prop,2,godot\assets\fairytales\puppet_theatre\prop-2.png,545,660,0.825758,0.503420,0.000000,0,0.821429,0.531531,8,8,537,652,0.500000,0.987879,,,,need_attention
puppet_theatre,prop,3,godot\assets\fairytales\puppet_theatre\prop-3.png,626,567,1.104056,0.500803,0.000000,0,1.107078,0.528863,8,8,618,559,0.500000,0.985891,,,,need_attention
puppet_theatre,enemy,0,godot\assets\fairytales\puppet_theatre\enemy-0.png,493,635,0.776378,0.403472,0.000000,0,0.770598,0.427785,8,8,485,627,0.500000,0.987402,,,,need_attention
puppet_theatre,enemy,1,godot\assets\fairytales\puppet_theatre\enemy-1.png,560,623,0.898876,0.569889,0.000000,0,0.896211,0.602114,8,8,552,615,0.500000,0.987159,,,,need_attention
puppet_theatre,enemy,2,godot\assets\fairytales\puppet_theatre\enemy-2.png,570,618,0.922330,0.500829,0.000000,0,0.920266,0.528989,8,8,562,610,0.500000,0.987055,,,,need_attention
puppet_fair,ground,,godot\assets\fairytales\puppet_fair\ground.png,512,512,1.000000,1.000000,0.007797,2044,1.000000,1.000000,0,0,512,512,,,51.796223,66.187500,0.000000,need_attention
puppet_fair,cliff,,godot\assets\fairytales\puppet_fair\cliff.png,512,512,1.000000,1.000000,0.007797,2044,1.000000,1.000000,0,0,512,512,,,57.153645,11.574219,0.000000,need_attention
puppet_fair,structure,,godot\assets\fairytales\puppet_fair\structure.png,916,1000,0.916000,0.631822,0.000000,0,0.914634,0.653511,8,8,908,992,0.500000,0.992000,,,,need_attention
puppet_fair,prop,0,godot\assets\fairytales\puppet_fair\prop-0.png,418,571,0.732049,0.587905,0.000000,0,0.724324,0.628927,8,8,410,563,0.500000,0.985989,,,,need_attention
puppet_fair,prop,1,godot\assets\fairytales\puppet_fair\prop-1.png,544,490,1.110204,0.741236,0.000000,0,1.113924,0.789477,8,8,536,482,0.500000,0.983673,,,,need_attention
puppet_fair,prop,2,godot\assets\fairytales\puppet_fair\prop-2.png,475,633,0.750395,0.405248,0.000000,0,0.743922,0.430250,8,8,467,625,0.500000,0.987362,,,,need_attention
